,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,56878.962,-2648.18133141414,G,G,6730.0,6730.0,1.0693163086268135e-16,-1.8864005279541018,0.0,0.0,19.05,-4.716001319885255,0.0,False
1,56879.03601,-2648.107321414136,G,G,6730.0,6730.0,1.0401744705561683e-16,-1.8984005279541005,0.0,0.0,19.08,-4.746001319885252,0.0,False
2,56879.21215,-2647.93118141414,G,G,6730.0,6730.0,1.0595127577822636e-16,-1.8904005279540996,0.0,0.0,19.06,-4.726001319885253,0.0,False
3,56879.46229,-2647.6810414141364,G,G,6730.0,6730.0,1.0891963830730904e-16,-1.878400527954101,0.0,0.0,19.03,-4.696001319885255,0.0,False
4,56879.5363,-2647.60703141414,G,G,6730.0,6730.0,1.0595127577822636e-16,-1.8904005279540996,0.0,0.0,19.06,-4.726001319885253,0.0,False
5,56969.78355,-2557.3597814141394,G,G,6730.0,6730.0,1.0792105706104813e-16,-1.8824005279541005,0.0,0.0,19.04,-4.706001319885253,0.0,False
6,56970.03373,-2557.1096014141367,G,G,6730.0,6730.0,1.0992745931208035e-16,-1.8744005279541014,0.0,0.0,19.02,-4.6860013198852535,0.0,False
7,56970.2099,-2556.933431414138,G,G,6730.0,6730.0,1.0992745931208035e-16,-1.8744005279541014,0.0,0.0,19.02,-4.6860013198852535,0.0,False
8,56976.96419,-2550.1791414141408,G,G,6730.0,6730.0,1.1094460556979427e-16,-1.8704005279541018,0.0,0.0,19.01,-4.6760013198852555,0.0,False
9,56977.03821,-2550.1051214141407,G,G,6730.0,6730.0,1.1300721978445351e-16,-1.862400527954101,0.0,0.0,18.99,-4.656001319885252,0.0,False
10,56977.21438,-2549.928951414142,G,G,6730.0,6730.0,1.1617326374437855e-16,-1.8504005279541005,0.0,0.0,18.96,-4.626001319885255,0.0,False
11,56977.28839,-2549.854941414138,G,G,6730.0,6730.0,1.1300721978445351e-16,-1.862400527954101,0.0,0.0,18.99,-4.656001319885252,0.0,False
12,57052.41782,-2474.725511414137,G,G,6730.0,6730.0,1.1510818086038315e-16,-1.8544005279541,0.0,0.0,18.97,-4.636001319885253,0.0,False
13,57052.49183,-2474.6515014141405,G,G,6730.0,6730.0,1.1300721978445351e-16,-1.862400527954101,0.0,0.0,18.99,-4.656001319885252,0.0,False
14,57052.74201,-2474.401321414138,G,G,6730.0,6730.0,1.1724820171896202e-16,-1.846400527954101,0.0,0.0,18.95,-4.616001319885253,0.0,False
15,57060.74703,-2466.396301414141,G,G,6730.0,6730.0,1.1724820171896202e-16,-1.846400527954101,0.0,0.0,18.95,-4.616001319885253,0.0,False
16,57060.92319,-2466.220141414138,G,G,6730.0,6730.0,1.1510818086038315e-16,-1.8544005279541,0.0,0.0,18.97,-4.636001319885253,0.0,False
17,57060.9972,-2466.1461314141416,G,G,6730.0,6730.0,1.1724820171896202e-16,-1.846400527954101,0.0,0.0,18.95,-4.616001319885253,0.0,False
18,57061.17337,-2465.9699614141427,G,G,6730.0,6730.0,1.0595127577822636e-16,-1.8904005279540996,0.0,0.0,19.06,-4.726001319885253,0.0,False
19,57149.54032,-2377.6030114141395,G,G,6730.0,6730.0,1.1617326374437855e-16,-1.8504005279541005,0.0,0.0,18.96,-4.626001319885255,0.0,False
20,57158.54458,-2368.598751414138,G,G,6730.0,6730.0,1.1300721978445351e-16,-1.862400527954101,0.0,0.0,18.99,-4.656001319885252,0.0,False
21,57158.72072,-2368.422611414142,G,G,6730.0,6730.0,1.0401744705561683e-16,-1.8984005279541005,0.0,0.0,19.08,-4.746001319885252,0.0,False
22,57158.97087,-2368.172461414142,G,G,6730.0,6730.0,1.0401744705561683e-16,-1.8984005279541005,0.0,0.0,19.08,-4.746001319885252,0.0,False
23,57198.01979,-2329.123541414141,G,G,6730.0,6730.0,1.1405286271496176e-16,-1.8584005279541014,0.0,0.0,18.98,-4.646001319885254,0.0,False
24,57238.98734,-2288.15599141414,G,G,6730.0,6730.0,1.1724820171896202e-16,-1.846400527954101,0.0,0.0,18.95,-4.616001319885253,0.0,False
25,57239.16348,-2287.9798514141366,G,G,6730.0,6730.0,1.0693163086268135e-16,-1.8864005279541018,0.0,0.0,19.05,-4.716001319885255,0.0,False
26,57342.00124,-2185.1420914141418,G,G,6730.0,6730.0,1.1405286271496176e-16,-1.8584005279541014,0.0,0.0,18.98,-4.646001319885254,0.0,False
27,57342.07524,-2185.0680914141412,G,G,6730.0,6730.0,1.0992745931208035e-16,-1.8744005279541014,0.0,0.0,19.02,-4.6860013198852535,0.0,False
28,57358.00596,-2169.1373714141373,G,G,6730.0,6730.0,1.1510818086038315e-16,-1.8544005279541,0.0,0.0,18.97,-4.636001319885253,0.0,False
29,57358.07998,-2169.0633514141373,G,G,6730.0,6730.0,1.1617326374437855e-16,-1.8504005279541005,0.0,0.0,18.96,-4.626001319885255,0.0,False
30,57521.58407,-2005.5592614141424,G,G,6730.0,6730.0,1.1617326374437855e-16,-1.8504005279541005,0.0,0.0,18.96,-4.626001319885255,0.0,False
31,57521.76022,-2005.383111414143,G,G,6730.0,6730.0,1.1617326374437855e-16,-1.8504005279541005,0.0,0.0,18.96,-4.626001319885255,0.0,False
