time,flux,filt,sample
-16.083333333333222,-5.060841232147109,r,0
-16.041666666666554,-5.020958076402653,r,0
-15.999999999999886,-4.981421570838574,r,0
-15.958333333333218,-4.942232525833877,r,0
-15.91666666666655,-4.903383447158571,r,0
-15.874999999999883,-4.864874248548272,r,0
-15.833333333333215,-4.82670023735956,r,0
-15.791666666666547,-4.788858359599526,r,0
-15.74999999999988,-4.751344621560882,r,0
-15.708333333333211,-4.714156520105462,r,0
-15.666666666666544,-4.677292106941671,r,0
-15.624999999999876,-4.640746993318057,r,0
-15.583333333333208,-4.604514511483977,r,0
-15.54166666666654,-4.568598129235468,r,0
-15.499999999999872,-4.532991656900414,r,0
-15.458333333333204,-4.49769193353659,r,0
-15.416666666666536,-4.46269720992067,r,0
-15.374999999999869,-4.428002073818529,r,0
-15.3333333333332,-4.393605398647509,r,0
-15.291666666666533,-4.359503188809928,r,0
-15.249999999999865,-4.325692809696971,r,0
-15.208333333333197,-4.2921740519035545,r,0
-15.16666666666653,-4.2589380991677395,r,0
-15.124999999999861,-4.225988231563694,r,0
-15.083333333333194,-4.193319982068786,r,0
-15.041666666666526,-4.160927634557481,r,0
-14.999999999999858,-4.128810575080546,r,0
-14.95833333333319,-4.096967170102239,r,0
-14.916666666666522,-4.065395721789081,r,0
-14.874999999999854,-4.034088730934087,r,0
-14.833333333333186,-4.003047387720073,r,0
-14.791666666666519,-3.97226925484447,r,0
-14.74999999999985,-3.9417491110816982,r,0
-14.708333333333183,-3.9114869490095465,r,0
-14.666666666666515,-3.881479153163383,r,0
-14.624999999999847,-3.851723635128561,r,0
-14.58333333333318,-3.8222174454390867,r,0
-14.541666666666512,-3.7929587410500254,r,0
-14.499999999999844,-3.763944166719309,r,0
-14.458333333333174,-3.735173413783464,r,0
-14.416666666666508,-3.7066412038934615,r,0
-14.374999999999838,-3.678347201292336,r,0
-14.333333333333172,-3.6502891068740944,r,0
-14.291666666666504,-3.6224636915491786,r,0
-14.249999999999837,-3.5948695304139733,r,0
-14.20833333333317,-3.567503415320896,r,0
-14.1666666666665,-3.5403640480771053,r,0
-14.124999999999831,-3.513449156257032,r,0
-14.083333333333165,-3.4867566022346956,r,0
-14.041666666666497,-3.4602836154517007,r,0
-13.999999999999831,-3.434029302297084,r,0
-13.958333333333163,-3.407989863051,r,0
-13.916666666666496,-3.382164136300947,r,0
-13.874999999999824,-3.3565504550816065,r,0
-13.833333333333156,-3.3311467304650932,r,0
-13.791666666666488,-3.3059502126757216,r,0
-13.749999999999822,-3.2809598792121086,r,0
-13.708333333333155,-3.2561727435203025,r,0
-13.666666666666487,-3.2315875076574834,r,0
