time,mag,magerr,band
59096.66981409216,22.655648385503163,0.19708892246128526,g
59101.21148075883,22.905739377372516,0.20006099637790645,g
59148.294814092165,25.613182436329357,0.2248055629060758,g
59137.669814092165,24.173985765633173,0.21267721106675905,g
59114.628147425494,23.563743658013433,0.23281156505677378,g
59109.96148075883,22.661169379550454,0.19021761787254438,g
59112.378147425494,22.23913169148804,0.21350542148689527,g
59151.003147425494,26.202820020373977,0.22362827197490887,g
59144.044814092165,25.60327402439391,0.18919797367172614,g
59123.58648075883,22.734434877237604,0.21643973606205905,g
59141.294814092165,24.88464903463818,0.22221453053002935,g
59104.128147425494,23.31700633068874,0.18806729110411433,g
59119.66981409216,22.536114665973646,0.23394216738083642,g
59127.378147425494,24.99860115496302,0.18967243774390544,g
59131.128147425494,23.926168196537134,0.23374735086819506,g
59146.169814092165,25.616014052904113,0.1903144907488926,g
59094.21148075883,20.275439948557516,0.205165922375819,g
59099.21148075883,23.41847281383014,0.22974094563002728,g
59138.08648075883,24.458755056888634,0.22031871275131348,R
59117.128147425494,21.50960530854886,0.2264606970621134,R
59111.878147425494,22.41311068533184,0.23554721078534535,R
59128.91981409216,22.94224662511688,0.2040500765781039,R
59097.58648075883,21.792844034160687,0.1920842122411722,R
59150.128147425494,24.94828608174457,0.2010863667612482,R
59140.503147425494,24.278152399722078,0.22579551194336417,R
59099.878147425494,22.73711069887207,0.18914936003661376,R
59106.29481409216,22.379862024914907,0.18867977471046005,R
59144.003147425494,24.55150872881171,0.18734224308938538,R
59121.33648075883,22.784519683322692,0.23360064230695338,R
59125.503147425494,22.777642183558278,0.191765770647984,R
59148.128147425494,24.596352286132856,0.22599795426908206,R
59109.628147425494,22.186179653874518,0.1883027714595327,R
59102.878147425494,23.14153380606351,0.2014514970692351,R
59095.58648075883,21.98788078508397,0.23531525830085653,R
59152.253147425494,24.838423952191636,0.23155314806479188,R
59131.46148075883,23.65490380833182,0.19139501359664063,R
59135.878147425494,23.2512773168765,0.22534799138056352,R
59114.628147425494,22.31564666801733,0.2238364069738722,R
