time,mag,magerr,band
60066.57479050291,19.01004263921839,0.0482103004974151,g
60060.61645716958,18.41154311768327,0.0868217409300543,g
60102.53312383624,20.581032747397373,0.06525403215671195,g
60054.32479050291,18.139019353414064,0.08590265594025025,g
60080.86645716958,19.67038899662184,0.085339009179482,g
60062.65812383624,18.788644270069508,0.04249179001728876,g
60097.44979050291,20.49757578561198,0.059031509859696275,g
60078.65812383624,19.523742233152635,0.07459338854056648,g
60045.40812383624,18.61644592048955,0.06840407177983836,g
60041.07479050291,18.32907601625039,0.057834940345192126,g
60075.69979050291,19.604544521744614,0.08495078081174168,g
60099.99145716958,20.478483539173958,0.04518951217022908,g
60083.99145716958,19.763439393254025,0.08658812857962342,g
60073.07479050291,19.541109194687156,0.04636533116785632,g
60070.11645716958,19.274617881366,0.08245969783100726,g
60092.15812383624,20.24197811497603,0.044123575277933064,g
60056.82479050291,17.88570295974972,0.08124454717769436,g
60053.44979050291,17.475173725202385,0.049051172574264695,R
60063.82479050291,18.14013039839014,0.017141537862048386,R
60069.94979050291,18.646020035967265,0.05506352618332812,R
60049.11645716958,17.793107829882697,0.01082983464471243,R
60045.90812383624,18.607235504468875,0.04749310060660766,R
60100.03312383624,19.238539577756665,0.04608108704193831,R
60080.53312383624,19.03308869708699,0.03386153679221249,R
60074.57479050291,18.713522149223568,0.03504934693886528,R
60082.99145716958,19.10012770895664,0.054987622008028134,R
60061.78312383624,17.87675840709474,0.03766103717850479,R
60086.74145716958,19.095231031198402,0.02490392755094343,R
60057.53312383624,17.569159104686864,0.049842061605775104,R
60041.11645716958,17.992906763181107,0.03161764404820627,R
60051.40812383624,17.400641605897455,0.01536978837468262,R
60097.94979050291,19.415660270718995,0.02038128889763785,R
60095.19979050291,19.21140049356989,0.03926688219712518,R
60089.07479050291,19.161308183172032,0.04041554784473215,R
